suite,background,method,n,improved,unchanged,worsened,clipped,gained3,lost3,gained45,lost45,mean_gain,min_gain,max_gain,background_distance_violations
sweep,#201C18,1.15,274625,273865,8,752,65765,9455,0,14405,0,0.6413020748612005,-0.023443874191597436,2.059231051783202,0
sweep,#201C18,1.175,274625,273842,8,775,79513,10826,0,16467,0,0.7364742568992322,-0.027248362152186623,2.3113936070778145,0
sweep,#201C18,1.2,274625,273825,8,792,79513,12082,0,18427,0,0.8295177991246002,-0.031024351966534303,2.641592693803215,0
sweep,#201C18,1.225,274625,273809,8,808,92681,13290,0,20322,0,0.918668739969776,-0.03477216264495686,2.857329074763035,0
sweep,#201C18,1.25,274625,273795,8,822,92681,14446,0,22173,0,1.006647029544622,-0.0362606233703231,3.174810083070037,0
sweep,#201C18,1.275,274625,273784,8,833,105225,15570,0,23842,0,1.0905538986038537,-0.03974931284650296,3.3555399724050083,0
sweep,#201C18,1.3,274625,273766,8,851,105225,16727,0,25607,0,1.1736816769257081,-0.043214054163944526,3.660589060805467,0
sweep,#201C18,1.325,274625,273740,8,877,114245,17702,0,27199,0,1.2530904081204395,-0.0466550930679035,3.8077189437898618,0
sweep,#201C18,1.35,274625,273727,8,890,117215,18697,0,28747,0,1.3315311333566908,-0.04835396948497017,4.100620401004463,0
sweep,#201C18,1.375,274625,273712,8,905,128557,19621,0,30219,0,1.407154649770667,-0.050191021103074496,4.217414249760569,0
sweep,#201C18,1.4,274625,273700,8,917,128557,20554,0,31698,0,1.4811000822173612,-0.053369045473636634,4.496579621222024,0
sweep,#201C18,1.425,274625,273691,8,926,136721,21463,0,33165,0,1.553611571292701,-0.05652718172718885,4.684393110371952,0
sweep,#201C18,1.45,274625,273671,8,946,136721,22283,0,34405,0,1.62323376981015,-0.05966561597153319,4.85012678719098,0
sweep,#201C18,1.475,274625,273662,8,955,139373,23107,0,35726,0,1.6928735531984556,-0.06257280148441402,5.119578275368262,0
sweep,#201C18,1.5,274625,273647,8,970,147125,23921,0,37025,0,1.7588145870819105,-0.061600816017227666,5.163818122829644,0
sweep,#201C18,1.525,274625,273639,8,978,147125,24671,0,38274,0,1.8243217357383137,-0.0644962026705469,5.421051626495355,0
